id_fonte;pais_codigo;ano;genero;taxa_prevalencia
;;2006;SEX_MLE;29.15
;;2012;SEX_BTSX;11.65
;;2010;SEX_FMLE;6.77
;;2002;SEX_MLE;7.71
;;2011;SEX_BTSX;11.76
;;2011;SEX_BTSX;12.09
;;2011;SEX_MLE;1.07
;;2019;SEX_BTSX;8.78
;;2020;SEX_MLE;20.59
;;2015;SEX_MLE;18.33
;;2019;SEX_MLE;16.36
;;2002;SEX_MLE;38.62
;;2015;SEX_MLE;11.53
;;2005;SEX_MLE;16.42
;;2000;SEX_BTSX;15.19
;;2011;SEX_BTSX;10.7
;;2006;SEX_BTSX;8.5
;;2010;SEX_MLE;8.57
;;2005;SEX_FMLE;4.3
;;2018;SEX_MLE;18.32
;;2003;SEX_BTSX;28.82
;;2007;SEX_MLE;15.46
;;2008;SEX_BTSX;19.34
;;2002;SEX_MLE;41.03
;;2013;SEX_FMLE;6.05
;;2016;SEX_BTSX;10.28
;;2009;SEX_MLE;17.88
;;2000;SEX_FMLE;10.06
;;2012;SEX_BTSX;15.42
;;2011;SEX_FMLE;6.29
;;2020;SEX_MLE;15.63
;;2008;SEX_FMLE;5.42
;;2006;SEX_FMLE;0.39
;;2000;SEX_MLE;5.08
;;2005;SEX_MLE;4.25
;;2007;SEX_BTSX;5.17
;;2019;SEX_BTSX;10.63
;;2005;SEX_MLE;16.52
;;2018;SEX_BTSX;4.15
;;2015;SEX_BTSX;13.16
;;2006;SEX_BTSX;11.42
;;2018;SEX_MLE;6.06
;;2009;SEX_BTSX;5.36
;;2019;SEX_MLE;6.61
;;2020;SEX_FMLE;4.61
;;2003;SEX_FMLE;4.14
;;2008;SEX_BTSX;25.02
;;2004;SEX_BTSX;21.5
;;2012;SEX_FMLE;4.24
;;2001;SEX_FMLE;11.03
;;2021;SEX_MLE;33.08
;;2017;SEX_BTSX;2.14
;;2007;SEX_FMLE;19.98
;;2013;SEX_MLE;5.46
;;2015;SEX_FMLE;5.31
;;2004;SEX_MLE;7.73
;;2020;SEX_MLE;14.9
